species,family,Symbiont,incidence,method,n,ref,populations,comment
Argiope bruennichi,Araneidae,Spiroplasma,0,Full16s,6,(Sheffer et al. 2020),2 Germany(1) Estonia(1),noPrevalence
Marpiss magister,Salticidae,Wolbachia,1,Full16s,3,(Zhang et al. 2017),1 China,noPrevalence
Marpiss magister,Salticidae,Spiroplasma,1,Full16s,3,(Zhang et al. 2017),1 China,noPrevalence
Marpiss magister,Salticidae,Rickettsia,1,Full16s,3,(Zhang et al. 2017),1 China,noPrevalence
Marpiss magister,Salticidae,Cardinium,1,Full16s,3,(Zhang et al. 2017),1 China,noPrevalence
Pirata subpiraticus,Lycosidae,Wolbachia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Pirata subpiraticus,Lycosidae,Spiroplasma,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Pirata subpiraticus,Lycosidae,Rickettsia,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Pirata subpiraticus,Lycosidae,Cardinium,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Wolbachia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Spiroplasma,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Rickettsia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Cardinium,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Dictis striatipes,Scytodidae,Wolbachia,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Dictis striatipes,Scytodidae,Spiroplasma,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Dictis striatipes,Scytodidae,Rickettsia,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Dictis striatipes,Scytodidae,Cardinium,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Agelena labyrinthica,Agelenidae,Wolbachia,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Agelena labyrinthica,Agelenidae,Spiroplasma,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Agelena labyrinthica,Agelenidae,Rickettsia,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Agelena labyrinthica,Agelenidae,Cardinium,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Agelena difficilis,Agelenidae,Wolbachia,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Agelena difficilis,Agelenidae,Spiroplasma,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Agelena difficilis,Agelenidae,Rickettsia,0,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Agelena difficilis,Agelenidae,Cardinium,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Artema atlanta,Pholcidae,Wolbachia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Artema atlanta,Pholcidae,Spiroplasma,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Artema atlanta,Pholcidae,Rickettsia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Artema atlanta,Pholcidae,Cardinium,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Ummeliata insecticeps,Linyphiidae,Wolbachia,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Ummeliata insecticeps,Linyphiidae,Spiroplasma,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Ummeliata insecticeps,Linyphiidae,Rickettsia,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Ummeliata insecticeps,Linyphiidae,Cardinium,1,Full16s,8,(Zhang et al. 2018),1 China,noPrevalence
Hylyphantes graminicola,Linyphiidae,Wolbachia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Hylyphantes graminicola,Linyphiidae,Spiroplasma,0,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Hylyphantes graminicola,Linyphiidae,Rickettsia,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Hylyphantes graminicola,Linyphiidae,Cardinium,1,Full16s,10,(Zhang et al. 2018),1 China,noPrevalence
Pardosa laura,Lycosidae,Wolbachia,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa laura,Lycosidae,Spiroplasma,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa laura,Lycosidae,Rickettsia,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa laura,Lycosidae,Cardinium,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa astrigera,Lycosidae,Wolbachia,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa astrigera,Lycosidae,Spiroplasma,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa astrigera,Lycosidae,Rickettsia,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Pardosa astrigera,Lycosidae,Cardinium,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Wolbachia,1,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Spiroplasma,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Rickettsia,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Nurscia albofasciata,Titanoecidae,Cardinium,0,Full16s,6,(Hu et al. 2019),1 China,noPrevalence
Stegodyphus dumicola,Eresidae,Wolbachia,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus dumicola,Eresidae,Spiroplasma,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus dumicola,Eresidae,Rickettsia,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus dumicola,Eresidae,Cardinium,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus mimosarum,Eresidae,Wolbachia,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus mimosarum,Eresidae,Spiroplasma,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus mimosarum,Eresidae,Rickettsia,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Stegodyphus mimosarum,Eresidae,Cardinium,0,Full16s,3,(Vanthournout et al. 2018),NA,Small dataset
Oedothorax gibbosus,Linyphiidae,Wolbachia,1,Full16s,20,(Vanthournout and Hendrickx 2015),2 Belgium(2),noPrevalence
Oedothorax gibbosus,Linyphiidae,Rickettsia,1,Full16s,20,(Vanthournout and Hendrickx 2015),2 Belgium(2),noPrevalence
Oedothorax gibbosus,Linyphiidae,Cardinium,1,Full16s,20,(Vanthournout and Hendrickx 2015),2 Belgium(2),noPrevalence
Stegodyphus dumicola,Eresidae,Wolbachia,0.02,Full16s,58,Paper II,5 SouthAfrica(5),NA
Stegodyphus dumicola,Eresidae,Spiroplasma,0.05,Full16s,58,Paper II,5 SouthAfrica(5),NA
Stegodyphus dumicola,Eresidae,Rickettsia,0.09,Full16s,58,Paper II,5 SouthAfrica(5),NA
Stegodyphus dumicola,Eresidae,Cardinium,0,Full16s,58,Paper II,5 SouthAfrica(5),NA
Stegodyphus mimosarum,Eresidae,Wolbachia,0,Full16s,60,Paper II,5 SouthAfrica(2) Madacascar(3),NA
Stegodyphus mimosarum,Eresidae,Spiroplasma,0,Full16s,60,Paper II,5 SouthAfrica(2) Madacascar(3),NA
Stegodyphus mimosarum,Eresidae,Rickettsia,0,Full16s,60,Paper II,5 SouthAfrica(2) Madacascar(3),NA
Stegodyphus mimosarum,Eresidae,Cardinium,0,Full16s,60,Paper II,5 SouthAfrica(2) Madacascar(3),NA
Stegodyphus sarasinorum,Eresidae,Wolbachia,0,Full16s,98,Paper II,8 India(7) SriLanka(1),NA
Stegodyphus sarasinorum,Eresidae,Spiroplasma,0.01,Full16s,98,Paper II,8 India(7) SriLanka(1),NA
Stegodyphus sarasinorum,Eresidae,Rickettsia,0.01,Full16s,98,Paper II,8 India(7) SriLanka(1),NA
Stegodyphus sarasinorum,Eresidae,Cardinium,0,Full16s,98,Paper II,8 India(7) SriLanka(1),NA
Stegodyphus dumicola,Eresidae,Wolbachia,0,Full16s,569,Paper III,6 Namibia(5) Botswana(1),NA
Stegodyphus dumicola,Eresidae,Spiroplasma,0.14,Full16s,569,Paper III,6 Namibia(5) Botswana(1),NA
Stegodyphus dumicola,Eresidae,Rickettsia,0.01,Full16s,569,Paper III,6 Namibia(5) Botswana(1),NA
Stegodyphus dumicola,Eresidae,Cardinium,0,Full16s,569,Paper III,6 Namibia(5) Botswana(1),NA
